Designator,Package,MidX,MidY,Rotation,Layer
C1,C_0805_2012Metric,-139.954,-99.4156,0,bottom
C5,C_0603_1608Metric,-130.4544,-108.0516,-90,bottom
C6,C_0603_1608Metric,-130.4544,-104.1908,90,bottom
C7,C_0402_1005Metric,-133.2992,-102.4128,90,bottom
C8,C_0402_1005Metric,-125.222,-107.0864,-90,bottom
C9,C_0402_1005Metric,-125.2728,-103.632,-90,bottom
C10,C_0603_1608Metric,-131.8768,-101.0542,90,bottom
C12,C_0603_1608Metric,-130.4036,-101.0542,90,bottom
C25,C_0402_1005Metric,-139.4968,-119.9896,0,bottom
C27,C_0402_1005Metric,-143.4572,-123.2916,180,bottom
C28,C_0402_1005Metric,-133.2484,-121.3104,0,bottom
C30,C_0402_1005Metric,-125.3236,-110.236,180,bottom
C31,C_0402_1005Metric,-125.73,-111.8108,90,bottom
C33,C_0402_1005Metric,-133.2484,-122.2248,180,bottom
C34,C_0402_1005Metric,-133.2484,-123.3932,180,bottom
C35,C_0402_1005Metric,-130.0988,-120.4468,0,bottom
C36,C_0603_1608Metric,-120.8024,-119.0244,180,bottom
D1,D_SOD-123,-137.0868,-105.8164,-90,bottom
D3,D_SOD-523,-105.5116,-113.3094,180,bottom
D4,D_SOD-523,-105.5116,-111.9124,180,bottom
D5,D_SOD-523,-105.4608,-104.7496,180,bottom
D6,D_SOD-523,-105.4608,-103.3526,180,bottom
FB1,L_0603_1608Metric,-127.1016,-111.252,-90,bottom
J12,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,-141.7348,-132.546,180,bottom
L1,L_Taiyo-Yuden_NR-40xx,-133.5816,-105.7148,180,bottom
Q1,SOT-23,-105.5116,-115.9256,-90,bottom
Q2,SOT-23,-105.4608,-107.3912,-90,bottom
Q3,VSON-8_3.3x3.3mm_P0.65mm_NexFET,-138.1724,-113.8424,180,bottom
R2,R_0402_1005Metric,-134.8516,-99.0092,0,bottom
R3,R_0402_1005Metric,-134.8516,-98.044,180,bottom
R13,R_0402_1005Metric,-107.9754,-101.1174,0,bottom
R16,R_0402_1005Metric,-105.5116,-110.744,180,bottom
R17,R_0402_1005Metric,-135.7376,-118.7704,90,bottom
R18,R_0402_1005Metric,-109.8296,-101.1174,180,bottom
R19,R_0402_1005Metric,-135.7376,-116.8908,-90,bottom
R20,R_0402_1005Metric,-105.4608,-102.1842,180,bottom
R22,R_0402_1005Metric,-129.7432,-110.6932,180,bottom
R23,R_0402_1005Metric,-129.7432,-111.6584,180,bottom
R24,R_0402_1005Metric,-133.2484,-125.222,0,bottom
R25,R_0402_1005Metric,-143.4592,-124.206,180,bottom
R26,R_0402_1005Metric,-143.4592,-125.1204,180,bottom
R27,R_0402_1005Metric,-143.4572,-122.3772,180,bottom
R28,R_0402_1005Metric,-133.2484,-124.3076,0,bottom
R29,R_0603_1608Metric,-140.6144,-128.2192,0,bottom
