Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF/35V","C_0805_2012Metric",-139.954000,-99.872800,0.000000,bottom
"C5","10uF","C_0603_1608Metric",-130.454400,-108.051600,-90.000000,bottom
"C6","10uF","C_0603_1608Metric",-130.454400,-104.190800,90.000000,bottom
"C7","100nF","C_0402_1005Metric",-133.299200,-102.412800,90.000000,bottom
"C8","10uF","C_0402_1005Metric",-125.222000,-107.086400,-90.000000,bottom
"C9","10uF","C_0402_1005Metric",-125.272800,-103.632000,-90.000000,bottom
"C10","22uF","C_0603_1608Metric",-131.876800,-101.054200,90.000000,bottom
"C12","22uF","C_0603_1608Metric",-130.403600,-101.054200,90.000000,bottom
"C25","100nF","C_0402_1005Metric",-139.496800,-119.989600,0.000000,bottom
"C27","100nF","C_0402_1005Metric",-143.457200,-123.291600,180.000000,bottom
"C28","4.7uF","C_0402_1005Metric",-133.248400,-121.310400,0.000000,bottom
"C30","100nF","C_0402_1005Metric",-125.323600,-110.236000,180.000000,bottom
"C31","100nF","C_0402_1005Metric",-125.730000,-111.810800,90.000000,bottom
"C33","100nF","C_0402_1005Metric",-133.248400,-122.224800,180.000000,bottom
"C34","22nF","C_0402_1005Metric",-133.248400,-123.393200,180.000000,bottom
"C35","100nF","C_0402_1005Metric",-130.098800,-120.446800,0.000000,bottom
"C36","100nF/1uF","C_0603_1608Metric",-120.802400,-119.024400,180.000000,bottom
"D1","SS14L","D_SOD-123",-137.086800,-105.816400,-90.000000,bottom
"D3","1N4148","D_SOD-523",-105.511600,-113.309400,180.000000,bottom
"D4","D_TVS","D_SOD-523",-105.511600,-111.912400,180.000000,bottom
"D5","1N4148","D_SOD-523",-105.460800,-104.749600,180.000000,bottom
"D6","D_TVS","D_SOD-523",-105.460800,-103.352600,180.000000,bottom
"D7","SMF28A","D_SOD-123F",-145.440400,-131.013200,-90.000000,bottom
"FB1","120R@100MHz","L_0603_1608Metric",-127.101600,-111.252000,-90.000000,bottom
"J12","Conn_01x04","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",-141.582400,-135.492400,180.000000,bottom
"L1","6.2uH","L_Taiyo-Yuden_NR-40xx",-133.581600,-105.714800,180.000000,bottom
"Q1","AO3400A","SOT-23",-105.511600,-115.925600,-90.000000,bottom
"Q2","AO3400A","SOT-23",-105.460800,-107.391200,-90.000000,bottom
"Q3","WSD4038DN","VSON-8_3.3x3.3mm_P0.65mm_NexFET",-138.172400,-113.842400,180.000000,bottom
"R2","309K","R_0402_1005Metric",-134.569200,-99.517200,0.000000,bottom
"R3","22.1K","R_0402_1005Metric",-134.569200,-98.552000,180.000000,bottom
"R13","10K","R_0402_1005Metric",-107.975400,-101.117400,0.000000,bottom
"R16","10K","R_0402_1005Metric",-105.511600,-110.744000,180.000000,bottom
"R17","10K","R_0402_1005Metric",-135.737600,-118.770400,90.000000,bottom
"R18","10K","R_0402_1005Metric",-109.829600,-101.117400,180.000000,bottom
"R19","10K","R_0402_1005Metric",-135.737600,-116.890800,-90.000000,bottom
"R20","10K","R_0402_1005Metric",-105.460800,-102.184200,180.000000,bottom
"R22","10K","R_0402_1005Metric",-105.511600,-119.430800,180.000000,bottom
"R23","10K","R_0402_1005Metric",-105.511600,-118.465600,180.000000,bottom
"R24","100R","R_0402_1005Metric",-133.248400,-125.222000,0.000000,bottom
"R25","100R","R_0402_1005Metric",-143.459200,-124.206000,180.000000,bottom
"R26","100R","R_0402_1005Metric",-143.459200,-125.120400,180.000000,bottom
"R27","20K","R_0402_1005Metric",-143.457200,-122.377200,180.000000,bottom
"R28","20K","R_0402_1005Metric",-133.248400,-124.307600,0.000000,bottom
"R29","0R11","R_0603_1608Metric",-140.614400,-128.219200,0.000000,bottom
"R30","0R11","R_0603_1608Metric",-136.093200,-128.270000,180.000000,bottom
"R31","430R/4.3K","R_0805_2012Metric",-126.441200,-114.757200,-90.000000,bottom
"U1","LMR54410","SOT-23-6",-135.969200,-101.447600,0.000000,bottom
"U2","ME6209A50M3G","SOT-23",-127.711200,-107.797600,0.000000,bottom
"U3","ME6209A33M3G","SOT-23",-127.711200,-104.394000,0.000000,bottom
"U6","74LVC2G17","SOT-23-6",-108.889800,-103.682800,-90.000000,bottom
"U8","74LVC2G17","SOT-23-6",-138.328400,-117.805200,0.000000,bottom
"U11","74LVC1G32","SOT-23-5",-129.286000,-114.350800,-90.000000,bottom
"U12","TMC2209-LA-T","TMC2209-LA-T",-138.328400,-124.256800,0.000000,bottom
"U13","MAX31865xTP","TQFN-20-1EP_5x5mm_P0.65mm_EP3.25x3.25mm",-121.716800,-114.655600,180.000000,bottom
"U14","ADXL343","LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y",-128.473200,-118.110000,90.000000,bottom
"C2","2.2uF","C_0402_1005Metric",110.591600,-100.838000,180.000000,top
"C3","100nF","C_0402_1005Metric",110.591600,-99.923600,180.000000,top
"C4","100nF","C_0402_1005Metric",113.436400,-117.906800,90.000000,top
"C11","100nF","C_0402_1005Metric",127.508000,-99.060000,0.000000,top
"C13","100nF","C_0402_1005Metric",117.957600,-107.137200,180.000000,top
"C14","100nF","C_0402_1005Metric",114.452400,-115.773200,-90.000000,top
"C15","100nF","C_0402_1005Metric",112.623600,-102.920800,90.000000,top
"C16","1uF","C_0402_1005Metric",114.554000,-102.920800,90.000000,top
"C17","10uF","C_0402_1005Metric",116.078000,-99.720400,180.000000,top
"C18","1uF","C_0402_1005Metric",115.468400,-102.920800,90.000000,top
"C19","100nF","C_0402_1005Metric",117.957600,-110.896400,0.000000,top
"C20","100nF","C_0402_1005Metric",116.433600,-105.410000,90.000000,top
"C21","100nF","C_0402_1005Metric",113.538000,-102.920800,90.000000,top
"C22","100nF","C_0402_1005Metric",107.137200,-105.460800,90.000000,top
"C23","100nF","C_0402_1005Metric",106.426000,-109.372400,90.000000,top
"C24","100nF","C_0402_1005Metric",113.434800,-115.776400,-90.000000,top
"C29","100nF","C_0402_1005Metric",105.511600,-122.732800,-90.000000,top
"C32","100uF","CP_Radial_D6.3mm_P2.50mm",143.306800,-129.641600,-90.000000,top
"D2","1N4148WT","D_SOD-523",127.304800,-101.803200,90.000000,top
"J1","Conn_01x02","Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal",139.540000,-102.436800,-90.000000,top
"J2","Conn_01x03","Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical",123.901200,-99.314000,-90.000000,top
"J4","Conn_01x02","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",119.278400,-103.835200,0.000000,top
"J5","Conn_01x03","Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical",145.230000,-113.568800,90.000000,top
"J6","Conn_01x02","Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical",119.278400,-99.872800,0.000000,top
"J7","Conn_01x05","Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical",102.710400,-116.444400,90.000000,top
"J8","Conn_01x03","Molex_PicoBlade_53047-0310_1x03_P1.25mm_Vertical",141.572400,-120.528400,90.000000,top
"J9","Conn_01x02","Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal",134.951600,-114.241600,180.000000,top
"J10","Conn_01x05","Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical",102.717600,-107.797600,90.000000,top
"J11","Conn_01x04","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",121.716800,-116.535200,0.000000,top
"R1","10K","R_0402_1005Metric",114.350800,-117.906800,-90.000000,top
"R4","NC","R_0402_1005Metric",108.458000,-99.923600,180.000000,top
"R5","1K","R_0402_1005Metric",108.458000,-100.838000,180.000000,top
"R6","10K","R_0402_1005Metric",127.508000,-99.974400,180.000000,top
"R7","100R","R_0402_1005Metric",127.508000,-98.145600,180.000000,top
"R8","27R","R_0402_1005Metric",141.630400,-110.337600,0.000000,top
"R9","10K","R_0402_1005Metric",117.957600,-106.220800,0.000000,top
"R10","27R","R_0402_1005Metric",141.630400,-111.353600,180.000000,top
"R11","1K","R_0402_1005Metric",112.369600,-115.776400,-90.000000,top
"R12","100R","R_0402_1005Metric",117.957600,-108.051600,0.000000,top
"R14","100R","R_0402_1005Metric",116.089600,-98.806000,0.000000,top
"R15","4.7K","R_0402_1005Metric",116.100800,-100.634800,0.000000,top
"U4","W25Q16JVUXIQ","W25Q16JVUXIQ",109.524800,-102.717600,0.000000,top
"U5","USBLC6-2SC6","SOT-23-6",138.582400,-110.896400,0.000000,top
"U7","RP2040","RP2040TR7",111.810800,-109.372400,0.000000,top
"U9","Si7021-A20","DFN-6-1EP_3x3mm_P1mm_EP1.5x2.4mm",103.022400,-122.224800,0.000000,top
"Y1","CSTNE12M0","Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm",109.980400,-116.081200,0.000000,top
